City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Batagay,0,RU,1584051474,96,67.63,134.63,-26.81,2.66
Quelimane,20,MZ,1584051475,88,-17.88,36.89,80.6,3.36
Yellowknife,90,CA,1584051252,69,62.46,-114.35,-5.01,16.11
Saint Anthony,90,US,1584051477,83,45.02,-93.22,42.8,24.16
Saldanha,0,ZA,1584051347,87,-33.01,17.94,59.0,4.7
Lumeje,100,AO,1584051479,88,-11.55,20.78,70.75,1.05
Lebu,100,CL,1584051480,76,-37.62,-73.65,66.07,5.97
Cumberland,1,US,1584051391,36,35.05,-78.87,78.01,6.93
Solnechnyy,100,RU,1584051483,97,50.72,136.63,12.61,1.9
Mergen,0,CN,1584051484,80,49.18,125.22,-5.21,6.96
Port Alfred,100,ZA,1584051485,80,-33.59,26.89,73.63,19.46
Tyukhtet,100,RU,1584051486,91,56.54,89.3,29.53,12.24
Kars,75,TR,1584051487,75,40.6,43.09,46.4,4.7
Leningradskiy,100,RU,1584051489,80,69.38,178.42,16.03,12.35
Narsaq,0,GL,1584051491,57,60.92,-46.05,21.2,5.82
Suclayin,52,PH,1584051492,96,15.76,121.55,63.91,0.56
Kaitangata,3,NZ,1584051494,81,-46.28,169.85,50.95,7.09
Departamento de Maldonado,75,UY,1584051495,83,-34.67,-54.92,75.2,9.17
Owando,63,CG,1584051497,98,-0.48,15.9,71.29,1.43
Aksarka,100,RU,1584051498,98,66.56,67.8,33.13,16.22
Saint Paul Harbor,1,US,1584051499,67,57.79,-152.41,32.0,17.22
Nanyuki,93,KE,1584051500,87,0.02,37.07,60.85,4.0
Labytnangi,100,RU,1584051501,99,66.66,66.42,33.13,12.95
São Gonçalo do Amarante,40,BR,1584051502,88,-3.61,-38.97,78.8,4.7
Mount Isa,0,AU,1584051423,69,-20.73,139.5,75.2,6.93
Krasnosel'kup,100,RU,1584051504,94,65.7,82.47,23.23,20.47
Pudozh,97,RU,1584051505,97,61.81,36.53,32.95,7.99
Ulladulla,0,AU,1584051506,87,-35.35,150.47,60.8,6.93
Longyearbyen,75,SJ,1584051218,69,78.22,15.64,-9.4,11.41
Severo-Kuril'sk,92,RU,1584051510,80,50.68,156.12,19.09,21.14
Coyhaique,75,CL,1584051511,87,-45.58,-72.07,55.4,3.36
Talnakh,32,RU,1584051386,69,69.49,88.4,-7.6,15.66
Port Elizabeth,20,ZA,1584051332,100,-33.92,25.57,66.2,4.7
San Patricio,75,MX,1584051514,74,19.22,-104.7,86.0,11.41
São Miguel do Araguaia,62,BR,1584051515,89,-13.28,-50.16,78.85,4.54
Norman Wells,75,CA,1584051516,64,65.28,-126.83,-2.2,14.99
Upata,79,VE,1584051517,41,8.01,-62.4,87.85,7.25
Oranjestad,40,AW,1584051480,65,12.52,-70.03,82.4,17.22
Tulun,100,RU,1584051519,94,54.56,100.58,25.21,9.37
Mehrān,75,IR,1584051520,53,33.12,46.16,51.8,6.93
Havre-St-Pierre,1,CA,1584051521,62,50.23,-63.6,21.2,18.34
Pyapon,0,MM,1584051424,90,16.28,95.68,67.33,6.06
Zastron,100,ZA,1584051523,86,-30.3,27.08,58.87,9.1
Kahului,75,US,1584051524,73,20.89,-156.47,75.2,4.7
Ribeira Grande,20,PT,1584051525,77,38.52,-28.7,59.0,5.82
Kitimat,40,CA,1584051526,64,54.05,-128.65,35.6,2.17
Chihuahua,90,MX,1584051399,26,28.5,-106.0,80.6,5.82
Vung Tau,25,VN,1584051528,83,10.35,107.08,78.49,14.72
Koindu,0,GN,1584051529,55,8.44,-10.33,80.65,4.16
Batemans Bay,32,AU,1584051530,95,-35.72,150.18,51.01,4.38
Turbat,0,PK,1584051532,28,26.0,63.04,61.93,2.46
Araouane,87,ML,1584051533,8,18.9,-3.53,77.41,8.1
Yashkul',0,RU,1584051534,57,46.17,45.34,48.61,8.55
Paamiut,0,GL,1584051535,80,61.99,-49.67,9.91,7.43
Yurgamysh,100,RU,1584051536,89,55.37,64.47,30.97,15.3
Umm Kaddadah,33,SD,1584051362,9,13.6,26.69,73.45,19.24
Yangi Marg`ilon,0,UZ,1584051538,65,40.43,71.72,44.6,6.93
Thohoyandou,17,ZA,1584051539,92,-22.95,30.48,68.77,0.87
Egvekinot,100,RU,1584051540,98,66.32,-179.17,28.81,19.82
Lafia,59,NG,1584051541,10,8.48,8.52,85.87,5.88
Narasannapeta,0,IN,1584051542,91,18.42,84.05,74.53,2.55
Vostok,96,RU,1584051543,97,46.49,135.88,1.99,9.08
Saint-Philippe,90,RE,1584051319,88,-21.36,55.77,80.6,10.29
Parabel',100,RU,1584051545,97,58.7,81.48,34.57,10.8
Faanui,48,PF,1584051547,71,-16.48,-151.75,83.53,13.15
Cap Malheureux,75,MU,1584051356,94,-19.98,57.61,79.0,10.02
Tasiilaq,0,GL,1584051549,66,65.61,-37.64,14.0,18.34
Mount Darwin,16,ZW,1584051550,96,-16.77,31.58,65.17,3.89
Olinda,75,BR,1584051551,70,-8.01,-34.86,84.2,10.29
Wana,0,PK,1584051553,64,32.3,69.57,27.55,7.29
Grand-Santi,93,GF,1584051554,42,4.25,-54.38,89.83,2.57
La Ronge,75,CA,1584051556,60,55.1,-105.28,10.4,17.22
Waingapu,55,ID,1584051546,72,-9.66,120.26,83.35,4.85
Vänersborg,3,SE,1584051558,75,58.38,12.32,41.0,19.46
Kozhva,100,RU,1584051559,99,65.11,57.05,36.01,11.27
Nikolskoye,90,RU,1584051326,93,59.7,30.79,39.2,8.95
Hīt,100,IQ,1584051561,25,33.64,42.83,73.45,9.73
Chokurdakh,80,RU,1584051562,96,70.63,147.92,-29.69,5.03
Puerto Ayora,20,EC,1584051563,66,-0.74,-90.35,86.0,11.41
Merke,33,KZ,1584051564,88,42.87,73.18,38.35,5.79
Sarangani,27,PH,1584051565,76,5.4,125.46,81.01,17.9
Krasnogvardeyskiy,97,RU,1584051566,83,57.38,62.32,34.93,9.89
Mongo,100,TD,1584051567,12,12.18,18.69,69.85,7.9
Peniche,90,PT,1584051568,82,39.36,-9.38,57.0,12.75
Vardø,90,NO,1584051376,92,70.37,31.11,28.4,28.86
Jiaojiang,81,CN,1584051571,96,28.68,121.44,55.0,5.48
Manta,75,EC,1584051572,66,-0.95,-80.73,87.8,11.41
Yar-Sale,100,RU,1584051573,96,66.83,70.83,32.77,16.67
Dingle,21,PH,1584051575,87,11.0,122.67,72.55,7.4
Saskylakh,100,RU,1584051576,95,71.92,114.08,1.09,13.24
Örebro,92,SE,1584051577,69,59.27,15.21,39.2,14.99
Reshetikha,19,RU,1584051578,76,56.22,43.29,39.99,8.95
Ajdabiya,13,LY,1584051295,74,30.76,20.23,59.95,20.31
Suntar,100,RU,1584051580,91,62.14,117.63,16.03,13.35
Upernavik,100,GL,1584051382,91,72.79,-56.15,-16.55,4.9
Luwuk,97,ID,1584051582,71,-0.95,122.79,81.01,4.85
Acaraú,100,BR,1584051583,89,-2.89,-40.12,77.77,4.61
Fare,85,PF,1584051584,73,-16.7,-151.02,83.53,14.85
Vigevano,75,IT,1584051585,82,45.31,8.86,57.0,3.36
Orlik,82,RU,1584051586,91,52.52,99.83,-1.07,3.36
Ha Giang,44,VN,1584051587,97,22.83,104.98,62.11,1.01
Najrān,0,SA,1584051588,31,17.49,44.13,62.6,1.79
Khovd,0,MN,1584051406,44,48.01,91.64,10.27,1.21
Sinnamary,0,GF,1584051591,73,5.38,-52.95,79.39,13.69
Payo,89,ID,1584051592,97,-3.75,103.64,67.33,2.19
Granville,40,AU,1584051568,100,-33.83,151.02,69.01,4.07
Pachino,0,IT,1584051594,81,36.72,15.09,55.99,4.7
Kautokeino,100,NO,1584051598,92,69.01,23.04,16.21,27.96
Hargeisa,26,SO,1584051599,89,9.56,44.06,61.75,5.06
San Cristobal,40,VE,1584051600,65,7.77,-72.22,82.4,13.87
Vetlanda,40,SE,1584051601,93,57.43,15.08,37.0,13.87
Orange Cove,2,US,1584051414,49,36.62,-119.31,73.4,7.74
Jining,95,CN,1584051603,59,35.41,116.58,45.37,13.31
Torbay,90,CA,1584051563,92,47.67,-52.73,28.99,2.24
Bandiagara,0,ML,1584051606,9,14.35,-3.61,81.55,9.73
Kirakira,100,SB,1584051607,86,-10.45,161.92,78.67,4.99
East Moline,75,US,1584051608,63,41.5,-90.44,60.8,9.17
Kita,0,ML,1584051609,10,13.03,-9.49,83.71,5.99
Hokitika,0,NZ,1584051610,81,-42.72,170.97,57.97,7.74
Emerald,0,AU,1584051611,77,-23.53,148.17,69.8,14.99
Bengkulu,99,ID,1584051613,92,-3.8,102.27,73.09,4.38
Pawai,58,IN,1584051615,48,24.27,80.17,74.53,3.51
Castro,67,BR,1584051616,61,-24.79,-50.01,73.45,1.21
Ryōtsu-minato,0,JP,1584051618,81,38.08,138.43,44.6,5.82
Bloomsburg,90,US,1584051619,54,41.0,-76.45,57.0,9.17
Mahibadhoo,29,MV,1584051620,73,3.78,72.97,82.45,12.35
Roald,75,NO,1584051621,64,62.58,6.13,35.6,21.92
Salalah,20,OM,1584051622,69,17.02,54.09,75.2,3.36
Kununurra,8,AU,1584051623,100,-15.77,128.73,73.4,2.93
Oranjemund,1,NA,1584051397,83,-28.55,16.43,64.45,3.02
Phan Thiet,28,VN,1584051625,85,10.93,108.1,71.47,3.58
Chërnaya Kholunitsa,100,RU,1584051626,92,58.85,51.72,36.19,11.03
Bichena,100,ET,1584051627,47,10.45,38.2,61.39,9.84
Mercedes,0,AR,1584051628,72,-34.65,-59.43,79.0,3.0
Qasigiannguit,90,GL,1584051629,71,68.82,-51.19,6.8,4.7
Carnarvon,90,AU,1584051630,69,-24.87,113.63,78.8,2.24
Kyustendil,2,BG,1584051631,77,42.28,22.69,46.99,2.3
Makokou,100,GA,1584051632,96,0.57,12.86,72.73,1.74
Flinders,1,AU,1584051634,87,-34.58,150.86,70.0,6.93
Khandyga,37,RU,1584051635,98,62.67,135.6,-26.81,2.71
Tortosa,75,ES,1584051347,100,40.81,0.52,55.0,4.7
Ribeira Brava,40,PT,1584051637,72,32.65,-17.07,62.6,13.87
Nur-Sultan,0,KZ,1584051628,78,51.18,71.45,8.6,4.47
Babaeski,0,TR,1584051639,69,41.43,27.09,48.99,8.99
Lincoln,20,US,1584051631,40,40.8,-96.67,54.0,27.51
Marsá Maţrūḩ,100,EG,1584051641,85,31.35,27.25,61.93,38.63
Zhigansk,100,RU,1584051642,94,66.77,123.37,-3.41,20.8
Bilma,0,NE,1584051643,28,18.69,12.92,61.21,11.86
Chapais,90,CA,1584051644,63,49.78,-74.85,26.6,8.05
Zhezkazgan,26,KZ,1584051645,72,47.8,67.71,16.21,2.59
Lorengau,26,PG,1584051646,71,-2.02,147.27,84.25,10.02
Lüderitz,0,NA,1584051647,88,-26.65,15.16,66.2,9.17
Lubango,75,AO,1584051648,88,-14.92,13.49,62.47,1.92
Nybro,20,SE,1584051394,69,56.74,15.91,39.99,24.16
Desaguadero,96,PE,1584051650,56,-16.57,-69.04,54.91,11.59
Luau,100,AO,1584051651,97,-10.71,22.22,67.33,4.14
Saint-Ambroise,40,CA,1584051652,73,48.55,-71.33,26.01,6.93
Beyla,3,GN,1584051653,18,8.68,-8.63,77.95,1.14
Oriximiná,93,BR,1584051655,61,-1.77,-55.87,88.21,2.86
Rome,90,US,1584051364,64,43.21,-75.46,53.01,6.93
Sambava,99,MG,1584051359,93,-14.27,50.17,74.17,2.26
Chimbote,0,PE,1584051659,51,-9.09,-78.58,81.91,10.58
Aklavik,20,CA,1584051660,57,68.22,-135.01,-11.2,6.93
Bosaso,0,SO,1584051661,76,11.28,49.18,77.59,16.33
Peleduy,87,RU,1584051662,84,59.63,112.74,13.15,13.56
Airai,1,TL,1584051663,95,-8.93,125.41,66.43,1.92
Kiryat Gat,40,IL,1584051540,88,31.61,34.76,64.4,17.22
Lillooet,20,CA,1584051665,52,50.69,-121.94,42.8,10.29
Yulara,0,AU,1584051666,30,-25.24,130.99,71.6,5.82
Fernley,1,US,1584051667,18,39.61,-119.25,64.4,8.05
Bambous Virieux,75,MU,1584051379,94,-20.34,57.76,79.0,11.81
Boa Vista,20,BR,1584051670,34,2.82,-60.67,95.0,6.93
Safi,84,MA,1584051671,75,32.3,-9.24,58.51,9.37
Nabire,91,ID,1584051673,91,-3.37,135.48,73.09,2.42
Te Anau,0,NZ,1584051674,79,-45.42,167.72,50.23,0.47
Maltahöhe,0,NA,1584051675,26,-24.83,16.98,68.77,12.59
Lodwar,100,KE,1584051676,36,3.12,35.6,88.57,13.42
Fairbanks,90,US,1584051420,77,64.84,-147.72,8.01,2.71
Swan Hill,0,AU,1584051678,56,-35.34,143.55,67.69,8.25
Manicoré,100,BR,1584051679,70,-5.81,-61.3,87.49,2.13
Mlowo,100,TZ,1584051680,97,-9.0,32.98,62.83,4.76
Jaciara,54,BR,1584051475,84,-15.97,-54.97,81.55,4.54
Kieta,98,PG,1584051682,75,-6.22,155.63,82.81,13.98
Iqaluit,75,CA,1584051683,69,63.75,-68.51,-7.6,2.59
Kaabong,50,UG,1584051684,59,3.48,34.15,73.27,9.82
Codrington,100,AU,1584051685,54,-38.27,141.97,69.31,21.0
Zhoucheng,100,CN,1584051686,36,35.91,116.31,44.65,7.31
Sittwe,0,MM,1584051687,68,20.15,92.9,73.45,4.79
Verāval,0,IN,1584051688,73,20.9,70.37,62.47,8.9
Santa Barbara,75,US,1584051553,82,34.42,-119.7,64.0,9.17
Bambanglipuro,100,ID,1584051691,92,-7.95,110.28,75.97,2.93
Cheţani,5,RO,1584051692,62,46.47,24.03,52.0,4.7
Padang,16,ID,1584051693,96,-0.95,100.35,68.05,3.51
Cosalá,95,MX,1584051694,73,24.41,-106.69,81.0,5.99
Lakhtar,0,IN,1584051695,60,22.85,71.78,62.83,8.25
São Filipe,0,CV,1584051696,58,14.9,-24.5,76.33,7.34
Ordu,75,TR,1584051697,100,40.91,37.68,51.8,3.36
Kastamonu Province,0,TR,1584051698,88,41.5,33.67,41.41,2.71
Klyuchi,0,RU,1584051699,77,52.27,79.17,14.77,8.57
Esik,40,KZ,1584051700,64,43.36,77.45,35.6,6.71
Lompoc,90,US,1584051531,72,34.64,-120.46,70.0,10.29
Kochevo,100,RU,1584051663,93,59.6,54.31,36.01,9.06
Elizabeth City,40,US,1584051626,64,36.29,-76.25,73.99,4.7
Sola,75,VU,1584051704,88,-13.88,167.55,82.4,11.65
Port Hedland,31,AU,1584051705,83,-20.32,118.57,82.4,4.7
Cap-aux-Meules,75,CA,1584051707,67,47.38,-61.86,23.0,8.05
Comodoro Rivadavia,75,AR,1584051674,82,-45.87,-67.5,62.6,7.92
Half Moon Bay,40,US,1584051709,40,37.46,-122.43,77.0,13.87
Rio Negrinho,70,BR,1584051710,91,-26.25,-49.52,77.0,1.99
Portland,1,US,1584051186,50,45.52,-122.68,55.99,4.7
Santa Rosa,20,PH,1584051712,78,14.31,121.11,78.8,3.36
Dikson,100,RU,1584051714,73,73.51,80.55,-4.67,30.33
Alvorada,100,BR,1584051715,86,-12.48,-49.12,76.69,3.0
Huaihua,100,CN,1584051716,94,27.55,109.96,55.45,4.56
Talara,8,PE,1584051718,100,-4.58,-81.27,62.6,17.22
Anadyr,20,RU,1584051720,74,64.75,177.48,37.4,29.08
Geraldton,59,AU,1584051721,78,-28.77,114.6,71.6,8.05
Nieuw Nickerie,13,SR,1584051722,77,5.95,-56.98,79.03,15.77
Sinjai,100,ID,1584051723,73,-5.12,120.25,83.71,5.86
Opuwo,31,NA,1584051724,44,-18.06,13.84,70.21,2.24
Isparta Province,75,TR,1584051725,53,38.0,31.0,51.8,11.41
Puerto Escondido,20,MX,1584051663,84,15.85,-97.07,86.0,13.87
Klaksvík,97,FO,1584051727,65,62.23,-6.59,32.0,1.12
Saint-Pierre,100,RE,1584051688,94,-21.34,55.48,80.6,10.29
Mandiana,43,GN,1584051729,18,10.63,-8.68,82.27,2.19
Kamaishi,0,JP,1584051730,78,39.27,141.88,36.55,8.7
Ostrovnoy,100,RU,1584051664,96,68.05,39.51,23.59,2.77
Lata,90,PT,1584051732,82,40.16,-8.33,55.99,12.75
Kupang,40,ID,1584051474,100,-10.17,123.58,75.2,2.24
Pimentel,0,PE,1584051734,29,-6.84,-79.93,66.2,18.34
Vila Franca do Campo,75,PT,1584051735,87,37.72,-25.43,59.0,6.93
Sorong,64,ID,1584051736,97,-0.88,131.25,74.53,2.93
Lingyuan,0,CN,1584051738,29,41.24,119.4,20.89,3.47
Vao,96,NC,1584051740,77,-22.67,167.48,80.29,6.8
Bezdan,0,RS,1584051741,76,45.85,18.93,50.0,10.29
Compiègne,20,FR,1584051742,76,49.42,2.83,46.4,16.11
Victor Harbor,75,AU,1584051686,82,-35.57,138.62,68.0,18.34
Turaif,90,SA,1584051744,34,31.67,38.66,66.2,27.51
Auki,100,SB,1584051746,81,-8.77,160.7,80.47,17.96
Bulungu,100,CD,1584051747,98,-4.55,18.6,70.57,2.08
Usakos,0,NA,1584051748,40,-22.0,15.6,72.37,2.77
Lake Shasta,1,US,1584051749,12,40.68,-122.37,78.8,20.8
Kashira,20,RU,1584051750,70,54.84,38.17,42.8,17.9
Rodrigues Alves,84,BR,1584051751,74,-7.74,-72.65,85.87,2.13
Ponta Delgada,75,PT,1584051752,87,37.73,-25.67,59.0,6.93
Isla Vista,75,US,1584051753,82,34.41,-119.86,66.0,9.17
Nālūt,0,LY,1584051754,49,30.33,10.85,53.29,8.61
Port Hardy,90,CA,1584051624,69,50.7,-127.42,42.8,10.29
Ancud,20,CL,1584051664,82,-41.87,-73.82,64.4,11.41
Necochea,54,AR,1584051687,87,-38.55,-58.74,80.01,1.99
Wad Medani,0,SD,1584051758,13,14.4,33.52,80.83,19.55
Inírida,51,CO,1584051761,47,3.87,-67.92,93.79,1.92
Nœux-les-Mines,0,FR,1584051762,70,50.48,2.67,45.0,18.34
Beringovskiy,100,RU,1584051764,96,63.05,179.32,34.93,30.31
Walvis Bay,0,NA,1584051665,82,-22.96,14.51,64.4,3.36
Fukuechō,100,JP,1584051766,76,32.69,128.84,51.8,4.7
Zeya,0,RU,1584051768,81,53.75,127.27,-20.69,4.52
Xichang,27,CN,1584051769,93,27.9,102.26,36.01,5.39
Godda,0,IN,1584051770,41,24.83,87.22,75.07,3.69
Soyo,100,AO,1584051771,84,-6.13,12.37,80.65,1.92
Palmeira,31,BR,1584051772,62,-25.43,-50.01,74.17,3.8
Ponta do Sol,40,PT,1584051773,72,32.67,-17.1,62.6,13.87
Champerico,40,GT,1584051774,55,14.3,-91.92,89.6,9.17
Benemérito de las Américas,88,MX,1584051775,48,16.52,-90.64,86.59,3.76
Gbarnga,58,LR,1584051776,87,7.0,-9.47,77.05,3.51
Maumelle,90,US,1584051777,69,34.87,-92.4,75.2,14.99
Moose Factory,90,CA,1584051778,69,51.26,-80.61,35.6,16.11
Grants,90,US,1584051583,41,35.15,-107.85,59.0,5.64
Meulaboh,77,ID,1584051780,68,4.14,96.13,79.93,3.96
Van Wert,75,US,1584051643,62,40.87,-84.58,60.01,6.93
Araure,4,VE,1584051782,60,9.56,-69.21,71.6,6.93
Gemeente Druten,90,NL,1584051784,70,51.88,5.6,45.0,18.34
Torit,97,SS,1584051785,54,4.41,32.57,83.17,2.59
Pevek,100,RU,1584051786,95,69.7,170.31,12.25,3.42
Avera,40,US,1584051787,64,33.19,-82.53,80.6,6.93
Callaway,1,US,1584051788,78,30.15,-85.57,73.4,11.41
Taoudenni,43,ML,1584051789,9,22.68,-3.98,75.79,7.34
Portales,40,US,1584051564,30,34.19,-103.33,72.0,12.75
Thessalon,90,CA,1584051791,93,46.25,-83.57,37.4,12.75
Kruisfontein,76,ZA,1584051792,93,-34.0,24.73,68.59,8.37
Maumere,92,ID,1584051793,75,-8.62,122.21,77.77,3.4
Seoul,75,KR,1584051499,55,37.57,126.98,42.8,6.93
Arrondissement de Bernay,0,FR,1584051796,70,49.17,0.67,42.8,11.41
Buala,100,SB,1584051797,79,-8.14,159.59,78.67,7.29
Kholmy,61,UA,1584051798,77,51.87,32.6,50.95,20.67
Shepsi,0,RU,1584051799,78,44.04,39.15,51.67,6.69
Tessalit,5,ML,1584051800,14,20.2,1.01,70.93,13.2
Asău,43,RO,1584051648,76,46.43,26.4,50.0,11.41
